0;nombreobra;nombreartista;periodo;anoinicio;anotermino;nombrelugar
1;San Sebastián;Andrea Mantegna;Renacimiento;1479;1480;Museo del Louvre
2;La Anunciación;Andrea del Verrocchio,Leonardo da Vinci;Renacimiento;1472;1475;Galería Uffizi
3;Bautismo de Cristo;Andrea del Verrocchio,Leonardo da Vinci;Renacimiento;1472;1475;Galería Uffizi
4;La Estatua de San Pedro;Arnolfo di Cambio;Gótico;1300;1305;La basílica de San Pedro
5;El Santo Entierro;Caravaggio;Barroco;1602;1604;Museos Vaticanos
6;Tondo Taddei;Caravaggio;Renacimiento;1504;1506;Royal Academy of Arts
7;Crucifixión de San Pedro;Caravaggio;Barroco;1600;1601;Basílica de Santa María del Popolo
8;La Anunciación;Caravaggio;Barroco;1607;1608;El Museo de Bellas Artes de Nancy
9;La cabeza de Medusa;Caravaggio;Barroco;1596;1597;Galería Uffizi
10;María Magdalena Penitente;Donatello;Renacimiento;1453;1455;Museo de la Ópera del duomo
11;La Libertad guiando al pueblo;Eugene Delacroix;Romanticismo;1829;1830;Museo del Louvre
12;El juicio Final;Federico Zuccaro,Giorgio Vasari;Renacimiento;1541;1563;Santa María del Fiore
13;Pitufiescultura;Floris Geerts,Kristin Geerts;Neoclasicismo Romano de mediados del siglo XVII 1/2;2018;2019;Piazza di Floros
14;PitufiFresco;Floris Geerts;Neoclasicismo Romano de mediados del siglo XVII 1/2;2019;2020;Museo del Louvre
15;La Fuente de Neptuno;Giacomo della Porta;Renacimiento;1573;1574;Piazza Navona
16;La Fuente de los Cuatro Ríos;Gian Lorenzo Bernini;Barroco;1648;1651;Piazza Navona
17;La anunciación;Gian Lorenzo Bernini;Barroco;1618;1619;Museo del Louvre
18;Éxtasis de Santa Teresa;Gian Lorenzo Bernini;Barroco;1645;1652;Iglesia de Santa María de la Victoria
19;Pulcin della Minerva;Gian Lorenzo Bernini;Barroco;1666;1667;Piazza della Minerva
20;Santos Piazza San Pietro;Gian Lorenzo Bernini;Barroco;1656;1667;Piazza San Pietro
21;Apolo y Dafne;Gian Lorenzo Bernini;Barroco;1622;1625;Galería Borghese
22;Maesta di Ognissanti;Giotto;Gótico;1309;1310;Galería Uffizi
23;La anunciación;Giotto;Gótico;1300;1304;Museo del Louvre
24;Polittico di Badia;Giotto;Gótico;1299;1300;Galería Uffizi
25;La consagración de Napoleón;Jacques-Louis David;Neoclasicismo;1805;1807;Museo del Louvre
26;Manneken Pis;Jerome Duquesnoy;Barroco;1618;1619;Museo de la ciudad de Bruselas
27;La última cena;Leonardo da Vinci;Renacimiento;1495;1498;Santa Maria delle Grazie
28;La Mona Lisa;Leonardo da Vinci;Renacimiento;1503;1519;Museo del Louvre
29;La Piedad;Michelangelo Buonarroti;Renacimiento;1498;1499;La basílica de San Pedro
30;El David;Michelangelo Buonarroti;Renacimiento;1501;1504;Galería de la Academia
31;El Moisés;Michelangelo Buonarroti;Renacimiento;1513;1515;San Pietro in Vincoli
32;La creación de Adán;Michelangelo Buonarroti;Renacimiento;1500;1511;Capilla Sixtina
33;El Juicio Final;Michelangelo Buonarroti;Renacimiento;1537;1541;Capilla Sixtina
34;Estancias de Rafael;Raffaello Sanzio;Renacimiento;1508;1524;Museos Vaticanos
35;La transfiguración;Raffaello Sanzio;Renacimiento;1517;1520;Museos Vaticanos
36;Madonna Sixtina;Raffaello Sanzio;Renacimiento;1513;1514;Galería de Pinturas de los Maestros Antiguos
37;Las Gracias;Raffaello Sanzio;Renacimiento;1504;1505;Museo Condé
38;La primavera;Sandro Botticelli;Renacimiento;1477;1478;Galería Uffizi
39;El nacimiento de Venus;Sandro Botticelli;Renacimiento;1482;1485;Galería Uffizi